Benchmark Name, scalar runtime (in ms), autovec runtime (in ms), avx512 runtime (in ms), parsimony runtime (in ms)
AbsDifference,1.483,0.443,0.369,0.414
AbsDifferenceSum,1.466,0.333,0.244,0.259
AbsDifferenceSumMasked,7.210,0.426,0.363,0.376
AbsDifferenceSums3x3,13.816,6.670,0.409,0.329
AbsDifferenceSums3x3Masked,14.346,10.654,0.439,0.474
AbsGradientSaturatedSum,3.918,0.636,0.351,0.351
AddFeatureDifference,2.826,0.634,0.645,0.644
AlphaBlendingUniform[1],1.443,0.367,0.301,0.303
AlphaBlendingUniform[2],2.834,0.916,0.675,0.687
AlphaBlendingUniform[3],4.343,1.495,0.882,0.904
AlphaBlendingUniform[4],5.866,2.460,1.191,1.209
AlphaBlending[1],1.774,0.465,0.448,0.457
AlphaBlending[2],3.321,0.933,0.832,0.839
AlphaBlending[3],4.903,1.508,1.038,1.047
AlphaBlending[4],6.171,2.508,1.352,1.400
AlphaFilling[1],1.761,0.372,0.317,0.316
AlphaFilling[2],3.352,0.779,0.493,0.544
AlphaFilling[3],4.860,1.164,0.497,0.584
AlphaFilling[4],6.194,1.834,0.601,0.674
AlphaPremultiply,3.516,1.875,1.467,1.570
AlphaUnpremultiply,8.764,1.940,1.595,1.495
AveragingBinarization[!=],5.381,3.335,1.600,1.712
AveragingBinarization[<],4.891,3.251,1.591,1.713
AveragingBinarization[<=],4.966,3.267,1.640,1.702
AveragingBinarization[==],5.424,3.286,1.592,1.693
AveragingBinarization[>],4.935,3.244,1.579,1.694
AveragingBinarization[>=],4.880,3.258,1.606,1.711
BackgroundAdjustRange,18.801,0.615,0.597,0.709
BackgroundAdjustRangeMasked,18.422,0.857,0.795,0.871
BackgroundGrowRangeFast,14.306,0.459,0.366,0.388
BackgroundGrowRangeSlow,15.154,0.368,0.370,0.457
BackgroundIncrementCount,14.446,0.717,0.698,0.729
BackgroundInitMask,6.782,0.344,0.340,0.336
BackgroundShiftRange,14.539,0.830,0.381,0.386
BackgroundShiftRangeMasked,14.928,1.090,0.614,0.613
Base64Decode,1.016,1.020,0.369,0.388
Base64Encode,1.226,1.238,0.374,0.391
BayerToBgr,9.625,9.674,0.627,0.768
BayerToBgra,10.036,10.038,0.936,0.960
BgrToBayer,1.100,1.124,0.587,0.663
Binarization[!=],0.849,0.370,0.373,0.384
Binarization[<],0.844,0.369,0.363,0.384
Binarization[<=],0.916,0.372,0.355,0.384
Binarization[==],0.848,0.373,0.384,0.384
Binarization[>],0.948,0.372,0.379,0.384
Binarization[>=],0.853,0.371,0.381,0.382
ConditionalCount16i[!=],0.838,0.832,0.323,0.339
ConditionalCount16i[<],7.235,6.877,0.322,0.338
ConditionalCount16i[<=],7.200,6.698,0.324,0.337
ConditionalCount16i[==],0.614,0.621,0.322,0.327
ConditionalCount16i[>],7.174,6.935,0.322,0.340
ConditionalCount16i[>=],7.156,6.726,0.322,0.341
ConditionalCount8u[!=],0.791,0.784,0.167,0.190
ConditionalCount8u[<],6.812,6.760,0.167,0.189
ConditionalCount8u[<=],6.801,6.841,0.166,0.188
ConditionalCount8u[==],0.570,0.560,0.170,0.222
ConditionalCount8u[>],6.776,6.847,0.168,0.189
ConditionalCount8u[>=],6.900,6.831,0.169,0.189
ConditionalFill[!=],0.725,0.300,0.302,0.282
ConditionalFill[<],6.811,0.298,0.301,0.299
ConditionalFill[<=],6.734,0.299,0.315,0.310
ConditionalFill[==],0.563,0.228,0.227,0.257
ConditionalFill[>],6.935,0.298,0.300,0.287
ConditionalFill[>=],6.823,0.300,0.303,0.275
ConditionalSum[!=],0.811,0.356,0.310,0.320
ConditionalSum[<],6.852,0.354,0.311,0.318
ConditionalSum[<=],6.822,0.353,0.312,0.318
ConditionalSum[==],0.847,0.353,0.312,0.271
ConditionalSum[>],6.792,0.353,0.310,0.321
ConditionalSum[>=],6.766,0.354,0.312,0.319
NeuralConvert[0],1.120,1.125,1.107,1.112
NeuralConvert[1],1.383,1.111,1.108,1.104
